Year,Month,Day,TTF Prices (y)
2030,1,1,10.3
2030,2,1,10.2
2030,3,1,10.1
2030,4,1,10.2
2030,5,1,10.1
2030,6,1,9.9
2030,7,1,9.9
2030,8,1,9.9
2030,9,1,10.1
2030,10,1,10.4
2030,11,1,10.6
2030,12,1,10.5
2031,1,1,10.7
2031,2,1,10.4
2031,3,1,10.3
2031,4,1,10.5
2031,5,1,10.3
2031,6,1,10.2
2031,7,1,10.2
2031,8,1,10.2
2031,9,1,10.4
2031,10,1,10.7
2031,11,1,10.8
2031,12,1,10.9
2032,1,1,11.6
2032,2,1,11.4
2032,3,1,11.3
2032,4,1,11.2
2032,5,1,11.1
2032,6,1,11
2032,7,1,10.9
2032,8,1,11
2032,9,1,11.1
2032,10,1,11.4
2032,11,1,11.5
2032,12,1,11.6
2033,1,1,12.3
2033,2,1,12.3
2033,3,1,12.2
2033,4,1,12.1
2033,5,1,12
2033,6,1,11.9
2033,7,1,11.8
2033,8,1,11.9
2033,9,1,12.1
2033,10,1,12.3
2033,11,1,12.5
2033,12,1,12.5
2034,1,1,13.3
2034,2,1,13.2
2034,3,1,13.2
2034,4,1,13
2034,5,1,12.7
2034,6,1,13.4
2034,7,1,14.3
2034,8,1,15.5
2034,9,1,15.9
2034,10,1,14.4
2034,11,1,15.3
2034,12,1,13.8
2035,1,1,13.6
2035,2,1,13.4
2035,3,1,13.5
2035,4,1,13.3
2035,5,1,13
2035,6,1,13.7
2035,7,1,14.6
2035,8,1,15.9
2035,9,1,16.3
2035,10,1,14.7
2035,11,1,15.7
2035,12,1,14.1
2036,1,1,13.9
2036,2,1,13.7
2036,3,1,13.8
2036,4,1,13.6
2036,5,1,13.2
2036,6,1,14
2036,7,1,14.9
2036,8,1,16.2
2036,9,1,16.6
2036,10,1,15
2036,11,1,16
2036,12,1,14.4
2037,1,1,14.2
2037,2,1,14
2037,3,1,14
2037,4,1,13.9
2037,5,1,13.5
2037,6,1,14.3
2037,7,1,15.2
2037,8,1,16.5
2037,9,1,16.9
2037,10,1,15.3
2037,11,1,16.3
2037,12,1,14.7
2038,1,1,14.5
2038,2,1,14.3
2038,3,1,14.3
2038,4,1,14.2
2038,5,1,13.8
2038,6,1,14.6
2038,7,1,15.5
2038,8,1,16.8
2038,9,1,17.3
2038,10,1,15.6
2038,11,1,16.6
2038,12,1,15
2039,1,1,14.8
2039,2,1,14.6
2039,3,1,14.6
2039,4,1,14.4
2039,5,1,14
2039,6,1,14.9
2039,7,1,15.8
2039,8,1,17.2
2039,9,1,17.6
2039,10,1,15.9
2039,11,1,17
2039,12,1,15.2
2040,1,1,15
2040,2,1,14.9
2040,3,1,14.9
2040,4,1,14.7
2040,5,1,14.3
2040,6,1,15.2
2040,7,1,16.1
2040,8,1,17.5
2040,9,1,18
2040,10,1,16.2
2040,11,1,17.3
2040,12,1,15.5
2041,1,1,15.3
2041,2,1,15.1
2041,3,1,15.2
2041,4,1,15
2041,5,1,14.6
2041,6,1,15.4
2041,7,1,16.4
2041,8,1,17.8
2041,9,1,18.3
2041,10,1,16.5
2041,11,1,17.6
2041,12,1,15.8
2042,1,1,15.6
2042,2,1,15.4
2042,3,1,15.5
2042,4,1,15.3
2042,5,1,14.9
2042,6,1,15.7
2042,7,1,16.7
2042,8,1,18.2
2042,9,1,18.6
2042,10,1,16.8
2042,11,1,17.9
2042,12,1,16.1
2043,1,1,15.9
2043,2,1,15.7
2043,3,1,15.7
2043,4,1,15.5
2043,5,1,15.1
2043,6,1,16
2043,7,1,17
2043,8,1,18.5
2043,9,1,19
2043,10,1,17.1
2043,11,1,18.3
2043,12,1,16.4
2044,1,1,16.2
2044,2,1,16
2044,3,1,16
2044,4,1,15.8
2044,5,1,15.4
2044,6,1,16.3
2044,7,1,17.3
2044,8,1,18.8
2044,9,1,19.3
2044,10,1,17.4
2044,11,1,18.6
2044,12,1,16.7
2045,1,1,16.5
2045,2,1,16.3
2045,3,1,16.3
2045,4,1,16.1
2045,5,1,15.7
2045,6,1,16.6
2045,7,1,17.6
2045,8,1,19.1
2045,9,1,19.6
2045,10,1,17.7
2045,11,1,18.9
2045,12,1,17
2046,1,1,16.8
2046,2,1,16.5
2046,3,1,16.6
2046,4,1,16.4
2046,5,1,15.9
2046,6,1,16.9
2046,7,1,17.9
2046,8,1,19.5
2046,9,1,20
2046,10,1,18.1
2046,11,1,19.2
2046,12,1,17.3
2047,1,1,17
2047,2,1,16.8
2047,3,1,16.9
2047,4,1,16.7
2047,5,1,16.2
2047,6,1,17.2
2047,7,1,18.2
2047,8,1,19.8
2047,9,1,20.3
2047,10,1,18.4
2047,11,1,19.5
2047,12,1,17.6
2048,1,1,17.3
2048,2,1,17.1
2048,3,1,17.1
2048,4,1,16.9
2048,5,1,16.5
2048,6,1,17.4
2048,7,1,18.5
2048,8,1,20.1
2048,9,1,20.6
2048,10,1,18.7
2048,11,1,19.9
2048,12,1,17.9
2049,1,1,17.6
2049,2,1,17.4
2049,3,1,17.4
2049,4,1,17.2
2049,5,1,16.8
2049,6,1,17.7
2049,7,1,18.8
2049,8,1,20.5
2049,9,1,21
2049,10,1,19
2049,11,1,20.2
2049,12,1,18.1
2050,1,1,17.9
2050,2,1,17.7
2050,3,1,17.7
2050,4,1,17.5
2050,5,1,17
2050,6,1,18
2050,7,1,19.2
2050,8,1,20.8
2050,9,1,21.3
2050,10,1,19.3
2050,11,1,20.5
2050,12,1,18.4
